zip_3,Median,Pop
554,60394.10730392159,19536.13725490196
556,48544.51888461538,1243.7692307692307
557,45875.837318840575,2408.6521739130435
558,46812.44537272728,10374.545454545454
559,55405.22101884059,4391.31884057971
560,53032.044447887325,3506.718309859155
561,47083.44901940298,1364.2089552238806
562,49219.58247162163,2041.4054054054054
563,51815.81336571429,3976.842857142857
564,44114.13540243902,3253.390243902439
565,47104.68165492959,2277.225352112676
566,40853.247746938774,1736.8775510204082
567,47257.63776341465,1698.2682926829268
570,54289.69035294119,2549.5
571,56448.13607777778,17904.555555555555
572,45227.566680357144,1289.5714285714287
573,42587.59056101694,1379.2372881355932
574,45193.950971428574,1213.0204081632653
575,40513.70602093023,1228.6279069767443
576,41577.96717419355,690.8064516129032
577,42250.76279107143,3426.285714285714
580,53803.318074576266,1213.3898305084747
581,43937.299725,23270.75
582,50585.044817857146,1785.107142857143
583,40763.529006250006,1101.0
584,44589.72322741937,832.3225806451613
585,48504.95729545455,2787.931818181818
586,47953.48151333334,1345.5
587,48426.947453968256,1339.2063492063492
588,53148.91650666667,1576.4
590,43885.49171304349,1142.2608695652175
591,59368.489025,27978.0
592,49188.111425,939.525
593,43221.17384814815,1308.5185185185185
594,42475.39316666666,2173.4333333333334
595,38006.292795652174,1385.7391304347825
596,48813.01494705882,3971.3529411764707
597,43827.82084186046,3204.860465116279
598,41247.66278571428,3502.7551020408164
599,42689.64555925927,3590.259259259259
600,88751.48414375004,25594.703125
601,71244.89849154929,19962.957746478874
602,82773.20563333333,26336.333333333332
603,86067.10125,15762.5
604,63663.14661538465,18483.384615384617
605,79810.7099589286,18044.035714285714
606,54628.47393571429,47816.42857142857
607,61673.075899999996,27143.75
608,49545.183450000004,38664.0
609,52445.44030754717,3188.6415094339623
610,55903.293298484845,4748.469696969697
611,47446.07920909091,21439.272727272728
612,53547.102166666664,5105.333333333333
613,50249.600583606545,2492.1639344262294
614,46424.94498333332,2045.513888888889
615,56430.00925777776,4545.2
616,46997.70584166666,14408.5
617,61539.172237735846,4431.754716981132
618,54843.8637137931,5036.293103448276
619,45348.29354666666,3653.5333333333333
620,48526.08151447368,4046.2894736842104
622,53602.711675342456,6396.342465753424
623,42996.93918461539,2155.326923076923
624,44026.9218220339,2504.6101694915255
625,53775.03673137256,3635.8823529411766
626,52680.785131578945,2877.5263157894738
627,54385.84981428571,20270.571428571428
628,43512.49642325582,2467.453488372093
