"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"497",669,665,0,76.5,2,FALSE,1
"498",689,685,0,68.9,0,TRUE,0
"499",544,540,0,94.2,1,TRUE,0
"500",799,795,0,0.1,0,FALSE,0
"501",679,675,0,74.4,2,FALSE,0
"502",799,795,0,79.6,0,FALSE,0
"503",674,670,0,83.4,2,TRUE,0
"504",639,635,0,79.5,1,TRUE,0
"505",699,695,0,61.1,2,TRUE,0
"506",519,515,0,89.4,3,TRUE,1
"507",644,640,0,68.1,1,FALSE,0
"508",699,695,0,94,0,TRUE,0
"509",764,760,0,89.7,2,FALSE,0
"510",739,735,0,46.7,1,TRUE,0
"511",739,735,0,39.8,1,TRUE,0
"512",744,740,0,25,0,TRUE,0
"513",699,695,0,67.8,0,FALSE,0
"514",569,565,0,91.2,0,TRUE,0
"515",649,645,0,69.3,1,TRUE,1
"516",799,795,0,71.3,1,FALSE,0
"517",759,755,0,72,0,FALSE,0
"518",659,655,0,93.5,2,TRUE,0
"519",764,760,0,70.8,0,TRUE,0
"520",654,650,0,79.3,0,TRUE,0
"521",709,705,0,81.2,1,FALSE,0
"522",549,545,0,52.2,1,TRUE,0
"523",679,675,0,93,1,FALSE,0
"524",539,535,0,75.2,2,TRUE,1
"525",769,765,0,45.4,1,TRUE,0
"526",734,730,0,52.1,2,TRUE,0
"527",624,620,0,5.5,1,TRUE,1
"528",534,530,0,40.6,0,FALSE,0
"529",674,670,0,18.5,1,FALSE,0
"530",644,640,0,53.3,1,FALSE,0
"531",754,750,0,94.8,3,TRUE,0
"532",699,695,0,85.5,2,FALSE,0
"533",499,0,1,22.4,3,TRUE,1
"534",664,660,0,34.1,2,TRUE,0
"535",534,530,0,91.2,0,FALSE,1
"536",724,720,0,66.2,1,TRUE,0
"537",769,765,0,15.4,0,FALSE,0
"538",579,575,0,60.2,1,TRUE,1
"539",604,600,0,84.1,0,FALSE,0
"540",669,665,0,95,1,TRUE,1
"541",674,670,0,92.1,1,TRUE,0
"542",624,620,0,93.3,1,TRUE,1
"543",639,635,0,75.5,2,FALSE,0
"544",709,705,0,46.6,0,FALSE,0
"545",699,695,0,92,1,TRUE,0
"546",664,660,0,77.7,1,TRUE,0
"547",604,600,0,25.3,1,TRUE,1
"548",574,570,0,74.4,0,TRUE,1
"549",749,745,0,94.8,0,TRUE,0
"550",554,550,0,12.4,0,TRUE,0
"551",719,715,0,84.5,0,TRUE,0
"552",754,750,0,88.5,1,TRUE,0
"553",794,790,0,92.3,1,TRUE,0
"554",659,655,0,55.2,1,FALSE,0
"555",709,705,0,64.5,1,FALSE,0
"556",699,695,0,53,0,FALSE,0
"557",809,805,0,3.2,1,FALSE,0
"558",794,790,0,61.8,1,TRUE,0
"559",769,765,0,28.2,3,TRUE,0
"560",499,0,0,68.5,1,TRUE,1
"561",529,525,0,24.8,1,FALSE,1
"562",689,685,0,82.3,0,TRUE,0
"563",679,675,0,33.3,0,FALSE,0
"564",599,595,0,85.3,0,FALSE,1
"565",599,595,0,36.1,0,TRUE,0
"566",674,670,0,72.8,0,FALSE,0
"567",689,685,1,65.9,2,TRUE,0
"568",699,695,0,93.5,0,FALSE,0
"569",644,640,0,47.8,2,TRUE,0
"570",589,585,0,89.9,1,FALSE,1
"571",694,690,0,44.2,0,FALSE,1
"572",734,730,0,89.4,1,TRUE,0
"573",739,735,0,84.5,0,FALSE,0
"574",639,635,0,92.1,0,TRUE,0
"575",499,0,0,94.5,2,FALSE,1
"576",689,685,0,76,0,FALSE,0
"577",669,665,1,64.2,0,TRUE,0
"578",674,670,0,96.9,1,TRUE,0
"579",704,700,0,60.6,0,FALSE,0
"580",714,710,0,66.3,0,FALSE,0
"581",584,580,0,77.7,0,FALSE,1
"582",629,625,0,90,2,FALSE,1
"583",654,650,0,90.2,1,FALSE,0
"584",554,550,0,65.3,3,FALSE,1
"585",764,760,0,64.3,1,TRUE,0
"586",699,695,0,79.1,0,TRUE,0
"587",724,720,0,4.6,0,TRUE,0
"588",739,735,0,44.1,1,FALSE,0
"589",504,500,0,60.2,1,FALSE,1
"590",559,555,0,82.9,0,TRUE,1
"591",684,680,0,96.7,1,FALSE,0
"592",614,610,0,87.8,0,FALSE,0
"593",749,745,0,70.4,0,FALSE,0
"594",719,715,0,40.7,0,FALSE,0
"595",499,0,0,94.4,0,TRUE,1
"596",734,730,0,82.6,1,FALSE,0
"597",664,660,0,60.8,0,TRUE,0
"598",499,0,0,89.1,1,TRUE,1
"599",799,795,0,66.2,2,TRUE,0
"600",584,580,0,66.1,0,TRUE,1
"601",579,575,0,38.5,2,TRUE,0
"602",499,0,0,13,3,FALSE,1
"603",664,660,0,22.5,0,TRUE,1
"604",649,645,0,51.8,0,TRUE,0
"605",699,695,0,18.9,3,FALSE,0
"606",714,710,0,80.1,0,TRUE,0
"607",499,0,0,58.5,2,FALSE,0
"608",594,590,0,78.5,1,FALSE,0
"609",714,710,0,85.1,1,FALSE,0
"610",669,665,0,69.1,0,FALSE,0
"611",704,700,0,76.2,1,TRUE,0
"612",719,715,0,60.2,0,FALSE,0
"613",794,790,0,78.9,0,TRUE,0
"614",674,670,0,92.7,2,TRUE,0
"615",709,705,0,97.3,0,TRUE,0
"616",514,510,0,66.5,1,TRUE,0
"617",639,635,0,41.5,2,TRUE,1
"618",684,680,0,92.5,2,FALSE,0
"619",514,510,0,58.7,1,TRUE,1
"620",499,0,0,89,3,TRUE,0
"621",654,650,0,61.9,0,TRUE,1
